State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
Andaman & Nicobar,Nicobars,2025-01-05,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-19,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-22,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-25,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-28,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-31,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2025-01-01,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2025-01-02,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2025-01-19,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2025-01-21,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,North And Middle Andaman,2025-01-29,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,2025-01-02,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,2025-01-08,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,2025-01-12,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,2025-01-14,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,2025-01-17,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,2025-01-24,2025,01,0.0,NRSC VIC MODEL
Andaman & Nicobar,South Andamans,2025-01-27,2025,01,0.0,NRSC VIC MODEL
Andhra Pradesh,Anantapur,2025-01-06,2025,01,19.1862512084,NRSC VIC MODEL
Andhra Pradesh,Anantapur,2025-01-13,2025,01,18.3168375184,NRSC VIC MODEL
Andhra Pradesh,Anantapur,2025-01-15,2025,01,18.1466145527,NRSC VIC MODEL
Andhra Pradesh,Anantapur,2025-01-16,2025,01,18.0508538211,NRSC VIC MODEL
Andhra Pradesh,Anantapur,2025-01-20,2025,01,17.7433995185,NRSC VIC MODEL
Andhra Pradesh,Anantapur,2025-01-23,2025,01,17.4591932152,NRSC VIC MODEL
Andhra Pradesh,Anantapur,2025-01-28,2025,01,17.0350740497,NRSC VIC MODEL
Andhra Pradesh,Anantapur,2025-01-30,2025,01,16.8816795779,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-01,2025,01,27.0685449031,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-03,2025,01,26.156176848,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-04,2025,01,25.7327233665,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-06,2025,01,24.9529392603,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-09,2025,01,23.9186774616,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-13,2025,01,23.0527468134,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-19,2025,01,24.3247536007,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-24,2025,01,23.7158714116,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-26,2025,01,23.0532807547,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2025-01-28,2025,01,22.4607067422,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-01,2025,01,18.0486564381,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-02,2025,01,17.8780035053,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-10,2025,01,16.7421962225,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-11,2025,01,16.6281540054,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-12,2025,01,16.5102307626,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-13,2025,01,16.3948259072,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-17,2025,01,15.988037111,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-21,2025,01,15.6230183417,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-26,2025,01,15.2560945233,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2025-01-30,2025,01,15.0266293437,NRSC VIC MODEL
Andhra Pradesh,Guntur,2025-01-29,2025,01,16.9819739088,NRSC VIC MODEL
Andhra Pradesh,Guntur,2025-01-30,2025,01,16.9318727635,NRSC VIC MODEL
Andhra Pradesh,Krishna,2025-01-04,2025,01,14.836942559,NRSC VIC MODEL
Andhra Pradesh,Krishna,2025-01-20,2025,01,13.6951450407,NRSC VIC MODEL
Andhra Pradesh,Krishna,2025-01-28,2025,01,13.3721784708,NRSC VIC MODEL
Andhra Pradesh,Krishna,2025-01-31,2025,01,13.2939390585,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2025-01-13,2025,01,20.9336616242,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2025-01-19,2025,01,20.4479541526,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2025-01-31,2025,01,19.6169875102,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2025-01-06,2025,01,23.4813987237,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2025-01-15,2025,01,21.6206677381,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2025-01-20,2025,01,20.8193279127,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2025-01-21,2025,01,20.6596572088,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2025-01-22,2025,01,20.5158172725,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2025-01-05,2025,01,24.0863037248,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2025-01-07,2025,01,23.309915251,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2025-01-14,2025,01,21.95652437,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2025-01-17,2025,01,21.0845014913,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2025-01-16,2025,01,21.3606993092,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2025-01-24,2025,01,19.8378193798,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2025-01-30,2025,01,18.6498870824,NRSC VIC MODEL
Andhra Pradesh,Srikakulam,2025-01-01,2025,01,15.6849234294,NRSC VIC MODEL
Andhra Pradesh,Srikakulam,2025-01-12,2025,01,13.7066013163,NRSC VIC MODEL
Andhra Pradesh,Srikakulam,2025-01-18,2025,01,12.9083141559,NRSC VIC MODEL
Andhra Pradesh,Srikakulam,2025-01-21,2025,01,12.5404751113,NRSC VIC MODEL
Andhra Pradesh,Srikakulam,2025-01-22,2025,01,12.4176108463,NRSC VIC MODEL
Andhra Pradesh,Srikakulam,2025-01-25,2025,01,12.0970656854,NRSC VIC MODEL
Andhra Pradesh,Srikakulam,2025-01-29,2025,01,11.7204900146,NRSC VIC MODEL
Andhra Pradesh,Visakhapatanam,2025-01-06,2025,01,18.6691999837,NRSC VIC MODEL
Andhra Pradesh,Visakhapatanam,2025-01-10,2025,01,18.0087199355,NRSC VIC MODEL
Andhra Pradesh,Visakhapatanam,2025-01-19,2025,01,16.860624137,NRSC VIC MODEL
Andhra Pradesh,Visakhapatanam,2025-01-22,2025,01,16.5112586267,NRSC VIC MODEL
Andhra Pradesh,Visakhapatanam,2025-01-23,2025,01,16.4057811779,NRSC VIC MODEL
Andhra Pradesh,Visakhapatanam,2025-01-28,2025,01,15.9377456174,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2025-01-01,2025,01,25.5626760729,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2025-01-13,2025,01,22.3324086018,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2025-01-14,2025,01,22.1239094265,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2025-01-25,2025,01,20.2678139381,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2025-01-28,2025,01,19.8633103015,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-03,2025,01,19.207452534,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-11,2025,01,17.9881236647,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-12,2025,01,17.8508082648,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-14,2025,01,17.5858166917,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2025-01-22,2025,01,16.7653485481,NRSC VIC MODEL
Andhra Pradesh,Y.S.R.,2025-01-07,2025,01,21.9537427833,NRSC VIC MODEL
Andhra Pradesh,Y.S.R.,2025-01-08,2025,01,21.6621444511,NRSC VIC MODEL
Andhra Pradesh,Y.S.R.,2025-01-18,2025,01,19.6252708674,NRSC VIC MODEL
Andhra Pradesh,Y.S.R.,2025-01-26,2025,01,18.3543577153,NRSC VIC MODEL
Andhra Pradesh,Y.S.R.,2025-01-28,2025,01,18.0528069385,NRSC VIC MODEL
Arunachal Pradesh,Anjaw,2025-01-03,2025,01,4.1979116445,NRSC VIC MODEL
Arunachal Pradesh,Anjaw,2025-01-08,2025,01,6.9167824326,NRSC VIC MODEL
Arunachal Pradesh,Anjaw,2025-01-10,2025,01,6.4855543232,NRSC VIC MODEL
Arunachal Pradesh,Anjaw,2025-01-22,2025,01,5.5973901816,NRSC VIC MODEL
Arunachal Pradesh,Anjaw,2025-01-23,2025,01,5.526218474,NRSC VIC MODEL
Arunachal Pradesh,Anjaw,2025-01-25,2025,01,5.4420002573,NRSC VIC MODEL
Arunachal Pradesh,Changlang,2025-01-18,2025,01,12.6603215742,NRSC VIC MODEL
Arunachal Pradesh,Changlang,2025-01-21,2025,01,12.1640062817,NRSC VIC MODEL
Arunachal Pradesh,Changlang,2025-01-22,2025,01,12.0562273465,NRSC VIC MODEL
Arunachal Pradesh,Dibang Valley,2025-01-01,2025,01,18.3230605853,NRSC VIC MODEL
Arunachal Pradesh,Dibang Valley,2025-01-11,2025,01,18.4073935218,NRSC VIC MODEL
Arunachal Pradesh,Dibang Valley,2025-01-17,2025,01,17.9552557218,NRSC VIC MODEL
Arunachal Pradesh,Dibang Valley,2025-01-25,2025,01,17.1407371989,NRSC VIC MODEL
Arunachal Pradesh,Dibang Valley,2025-01-29,2025,01,16.5255023698,NRSC VIC MODEL
